zip,county,state,via_local_news,via_gov_notice,via_meeting
84001,Duchesne,UT,true,true,false
84002,Duchesne,UT,true,true,false
84007,Duchesne,UT,true,true,false
84008,Uintah,UT,true,true,false
84017,Summit,UT,true,true,true
84018,Morgan,UT,false,true,false
84021,Duchesne,UT,true,true,false
84024,Summit,UT,true,true,true
84026,Uintah,UT,true,true,false
84027,Duchesne,UT,true,true,false
84028,Rich,UT,false,true,false
84031,Duchesne,UT,true,true,false
84032,Wasatch,UT,false,true,false
84033,Summit,UT,true,true,true
84035,Uintah,UT,true,true,false
84036,Summit,UT,true,true,true
84038,Rich,UT,false,true,false
84039,Uintah,UT,true,true,false
84049,Wasatch,UT,false,true,false
84050,Morgan,UT,false,true,false
84051,Duchesne,UT,true,true,false
84052,Duchesne,UT,true,true,false
84053,Duchesne,UT,true,true,false
84055,Summit,UT,true,true,true
84060,Summit,UT,true,true,true
84061,Summit,UT,true,true,true
84063,Uintah,UT,true,true,false
84064,Rich,UT,false,true,false
84066,Duchesne,UT,true,true,false
84068,Summit,UT,true,true,true
84072,Duchesne,UT,true,true,false
84073,Duchesne,UT,true,true,false
84076,Uintah,UT,true,true,false
84078,Uintah,UT,true,true,false
84079,Uintah,UT,true,true,false
84082,Wasatch,UT,false,true,false
84085,Uintah,UT,true,true,false
84086,Rich,UT,false,true,false
84098,Summit,UT,true,true,true
84510,San Juan,UT,true,true,false
84511,San Juan,UT,true,true,false
84512,San Juan,UT,true,true,false
84513,Emery,UT,false,true,false
84515,Grand,UT,true,true,true
84516,Emery,UT,false,true,false
84518,Emery,UT,false,true,false
84521,Emery,UT,false,true,false
84522,Emery,UT,false,true,false
84523,Emery,UT,false,true,false
84525,Emery,UT,false,true,false
84528,Emery,UT,false,true,false
84530,San Juan,UT,true,true,false
84531,San Juan,UT,true,true,false
84532,Grand,UT,true,true,true
84533,Kane,UT,false,true,true
84534,San Juan,UT,true,true,false
84535,San Juan,UT,true,true,false
84537,Emery,UT,false,true,false
84540,Grand,UT,true,true,true
84620,Sevier,UT,false,true,false
84621,Sanpete,UT,false,true,true
84622,Sanpete,UT,false,true,true
84623,Sanpete,UT,false,true,true
84624,Millard,UT,false,true,true
84627,Sanpete,UT,false,true,true
84628,Juab,UT,false,true,false
84629,Sanpete,UT,false,true,true
84630,Sanpete,UT,false,true,true
84631,Millard,UT,false,true,true
84632,Sanpete,UT,false,true,true
84634,Sanpete,UT,false,true,true
84635,Millard,UT,false,true,true
84636,Millard,UT,false,true,true
84637,Millard,UT,false,true,true
84638,Millard,UT,false,true,true
84639,Juab,UT,false,true,false
84640,Millard,UT,false,true,true
84642,Sanpete,UT,false,true,true
84643,Sanpete,UT,false,true,true
84644,Millard,UT,false,true,true
84645,Juab,UT,false,true,false
84646,Sanpete,UT,false,true,true
84647,Sanpete,UT,false,true,true
84648,Juab,UT,false,true,false
84649,Millard,UT,false,true,true
84652,Sevier,UT,false,true,false
84654,Sevier,UT,false,true,false
84656,Millard,UT,false,true,true
84657,Sevier,UT,false,true,false
84662,Sanpete,UT,false,true,true
84667,Sanpete,UT,false,true,true
84684,Utah,UT,true,true,true
84685,Utah,UT,true,true,true
84701,Sevier,UT,false,true,false
84710,Kane,UT,false,true,true
84711,Sevier,UT,false,true,false
84712,Garfield,UT,false,true,false
84713,Beaver,UT,false,true,false
84716,Garfield,UT,false,true,false
84717,Garfield,UT,false,true,false
84718,Garfield,UT,false,true,false
84722,Washington,UT,false,true,true
84723,Piute,UT,false,true,true
84724,Sevier,UT,false,true,false
84725,Washington,UT,false,true,true
84726,Garfield,UT,false,true,false
84728,Millard,UT,false,true,true
84729,Kane,UT,false,true,true
84730,Sevier,UT,false,true,false
84731,Beaver,UT,false,true,false
84732,Piute,UT,false,true,true
84733,Washington,UT,false,true,true
84735,Garfield,UT,false,true,false
84736,Garfield,UT,false,true,false
84737,Washington,UT,false,true,true
84738,Washington,UT,false,true,true
84739,Sevier,UT,false,true,false
84740,Piute,UT,false,true,true
84741,Kane,UT,false,true,true
84743,Piute,UT,false,true,true
84744,Sevier,UT,false,true,false
84745,Washington,UT,false,true,true
84746,Washington,UT,false,true,true
84750,Piute,UT,false,true,true
84751,Beaver,UT,false,true,false
84752,Beaver,UT,false,true,false
84754,Sevier,UT,false,true,false
84755,Kane,UT,false,true,true
84757,Washington,UT,false,true,true
84758,Kane,UT,false,true,true
84759,Garfield,UT,false,true,false
84762,Kane,UT,false,true,true
84763,Washington,UT,false,true,true
84764,Garfield,UT,false,true,false
84765,Washington,UT,false,true,true
84766,Sevier,UT,false,true,false
84767,Washington,UT,false,true,true
84770,Washington,UT,false,true,true
84771,Washington,UT,false,true,true
84774,Washington,UT,false,true,true
84776,Garfield,UT,false,true,false
84779,Washington,UT,false,true,true
84780,Washington,UT,false,true,true
84781,Washington,UT,false,true,true
84782,Washington,UT,false,true,true
84783,Washington,UT,false,true,true
84784,Washington,UT,false,true,true
84790,Washington,UT,false,true,true
84791,Washington,UT,false,true,true
